t,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.22,-1.02574817302161,-1,-0.53258667557797,-0.257045824913854,0,0.290756033502043,0.638037906797464,1,1.50146940927185
0.225,-1.02638124725744,-1,-0.529673664811434,-0.2555403981631,0,0.289812718309794,0.63735250413669,1,1.4968306882309
0.23,-1.02702540221455,-1,-0.526769773441237,-0.254044274264519,0,0.288870656036909,0.636665530813769,1,1.49229601861657
0.235,-1.0276800133744,-1,-0.523875121386336,-0.252557403282401,0,0.287929857281844,0.635976985248499,1,1.48786038439575
0.24,-1.02834451473779,-1,-0.520989826445992,-0.251079735373765,0,0.286990332570425,0.63528686590308,1,1.48351907478319
0.245,-1.02901839882488,-1,-0.518114004299769,-0.249611220788352,0,0.286052092355848,0.634595171282115,1,1.47926768424153
0.25,-1.02970121667517,-1,-0.515247768507536,-0.24815180986863,0,0.285115147018683,0.633901899932605,1,1.47510231091408
0.255,-1.03039257784751,-1,-0.512391230509465,-0.246701453049792,0,0.284179506866866,0.633207050443957,1,1.47102131023417
0.26,-1.0310921504201,-1,-0.509544499626032,-0.245260100859757,0,0.28324518213571,0.632510621447976,1,1.46702295709578
0.265,-1.03179966099051,-1,-0.506707683058016,-0.243827703919168,0,0.282312182987894,0.63181261161887,1,1.46310530401871
0.27,-1.03251489467563,-1,-0.503880885886502,-0.242404212941393,0,0.281380519513471,0.63111301967325,1,1.45926642908129
0.275,-1.03323769511171,-1,-0.501064211072875,-0.240989578732528,0,0.280450201729864,0.630411844370125,1,1.45550443592035
0.28,-1.03396796445436,-1,-0.498257759458828,-0.239583752191392,0,0.279521239581867,0.629709084510909,1,1.45181745373122
0.285,-1.03470566337852,-1,-0.495461629766355,-0.23818668430953,0,0.278593642941645,0.629004738939414,1,1.44820363726774
0.29,-1.03545081107851,-1,-0.492675918597754,-0.236798326171211,0,0.277667421608734,0.628298806541858,1,1.44466116684225
0.295,-1.03620348526796,-1,-0.489900720435627,-0.235418628953432,0,0.276742585310041,0.627591286246856,1,1.44118824832561
0.3,-1.03696382217989,-1,-0.487136127642882,-0.234047543925912,0,0.275819143699844,0.626882177025428,1,1.43778311314717
0.305,-1.03773201656664,-1,-0.484382230462727,-0.2326850224511,0,0.274897106359792,0.626171477890994,1,1.43444401829479
0.31,-1.03850832169991,-1,-0.481639117018676,-0.231331015984164,0,0.273976482798906,0.625459187899375,1,1.43116924631484
0.315,-1.03929304937076,-1,-0.478906873314547,-0.229985476073004,0,0.273057282453576,0.624745306148795,1,1.42795710531218
0.32,-1.04008656988958,-1,-0.476185583234461,-0.22864835435824,0,0.272139514687565,0.624029831779877,1,1.4248059289502
0.325,-1.04088931208613,-1,-0.473475328542842,-0.22731960257322,0,0.271223188792006,0.623312763975649,1,1.42171407645077
0.33,-1.04170176330949,-1,-0.47077618888442,-0.225999172544016,0,0.270308313985402,0.622594101961539,1,1.41867993259429
0.335,-1.04252446942814,-1,-0.468088241784227,-0.224687016189427,0,0.269394899413629,0.621873845005375,1,1.41570190771965
0.34,-1.04335803482985,-1,-0.465411562647598,-0.223383085520976,0,0.268482954149933,0.621151992417389,1,1.41277843772424
0.345,-1.04420312242178,-1,-0.462746224760175,-0.222087332642912,0,0.267572487194932,0.620428543550212,1,1.40990798406398
0.35,-1.04506045363044,-1,-0.460092299287901,-0.220799709752209,0,0.266663507476613,0.619703497798879,1,1.40708903375326
0.355,-1.04593080840166,-1,-0.457449855277023,-0.219520169138565,0,0.265756023850335,0.618976854600826,1,1.40432009936501
0.36,-1.04681502520065,-1,-0.454818959654092,-0.218248663184405,0,0.264850045098829,0.618248613435888,1,1.40159971903064
0.365,-1.04771400101196,-1,-0.452199677225965,-0.21698514436488,0,0.263945579932196,0.617518773826306,1,1.39892645644009
0.37,-1.04862869133948,-1,-0.449592070679799,-0.215729565247865,0,0.263042636987908,0.616787335336718,1,1.39629890084177
0.375,-1.04956011020646,-1,-0.446996200583057,-0.214481878493959,0,0.262141224830809,0.616054297574166,1,1.39371566704264
0.38,-1.05050933015549,-1,-0.444412125383506,-0.21324203685649,0,0.261241351953111,0.615319660188094,1,1.39117539540813
0.385,-1.05147748224853,-1,-0.441839901409216,-0.212009993181507,0,0.260343026774402,0.614583422870346,1,1.38867675186218
0.39,-1.05246575606688,-1,-0.43927958286856,-0.210785700407788,0,0.259446257641636,0.613845585355168,1,1.38621842788726
0.395,-1.05347539971117,-1,-0.436731221850217,-0.209569111566834,0,0.258551052829141,0.613106147419207,1,1.38379914052431
0.4,-1.05450771980141,-1,-0.434194868323168,-0.208360179782872,0,0.257657420538616,0.612365108881514,1,1.38141763237281
0.405,-1.05556408147693,-1,-0.431670570136699,-0.207158858272856,0,0.256765368899129,0.611622469603539,1,1.37907267159072
0.41,-1.05664590839645,-1,-0.429158373020397,-0.205965100346461,0,0.255874905967121,0.610878229489134,1,1.37676305189452
0.415,-1.057754682738,-1,-0.426658320584157,-0.204778859406092,0,0.254986039726402,0.610132388484553,1,1.37448759255919
0.42,-1.05889194519897,-1,-0.424170454318174,-0.203600088946878,0,0.254098778088156,0.609384946578451,1,1.37224513841821
0.425,-1.06005929499612,-1,-0.421694813592949,-0.20242874255667,0,0.253213128890936,0.608635903801886,1,1.37003455986357
0.43,-1.06125838986554,-1,-0.419231435659286,-0.201264773916049,0,0.252329099900665,0.607885260228315,1,1.36785475284578
0.435,-1.06249094606268,-1,-0.416780355648293,-0.200108136798319,0,0.25144669881064,0.607133015973598,1,1.36570463887382
0.44,-1.06375873836232,-1,-0.414341606571381,-0.198958785069509,0,0.250565933241525,0.606379171195998,1,1.36358316501522
0.445,-1.06506360005861,-1,-0.411915219320267,-0.197816672688374,0,0.24968681074136,0.605623726096177,1,1.36148930389598
0.45,-1.06640742296505,-1,-0.409501222666969,-0.196681753706395,0,0.248809338785551,0.604866680917199,1,1.35942205370062
0.455,-1.06779215741448,-1,-0.407099643263809,-0.195553982267777,0,0.247933524776878,0.60410803594453,1,1.35738043817216
0.46,-1.06921981225909,-1,-0.404710505643416,-0.194433312609451,0,0.247059376045492,0.603347791506039,1,1.35536350661214
0.465,-1.07069245487043,-1,-0.402333832218719,-0.193319699061073,0,0.246186899848914,0.602585947971994,1,1.35337033388058
0.47,-1.07221221113939,-1,-0.399969643282953,-0.192213096045025,0,0.245316103372035,0.601822505755067,1,1.35140002039603
0.475,-1.07378126547622,-1,-0.397617957009655,-0.191113458076412,0,0.244446993727121,0.601057465310328,1,1.34945191592006
0.48,-1.0754018608105,-1,-0.395278789452668,-0.190020739763069,0,0.243579577953804,0.600290827135252,1,1.34752755752568
0.485,-1.07707629859118,-1,-0.392952154546137,-0.188934895805551,0,0.24271386301909,0.599522591769715,1,1.34562714349915
0.49,-1.07880693878655,-1,-0.390638064104512,-0.187855880997142,0,0.241849855817356,0.598752759795992,1,1.34375033352775
0.495,-1.08059619988425,-1,-0.388336527822545,-0.186783650223849,0,0.240987563170349,0.597981331838763,1,1.34189678995978
0.5,-1.08244655889128,-1,-0.386047553275293,-0.185718158464407,0,0.240126991827186,0.597208308565106,1,1.34006617780454
0.505,-1.08436055133397,-1,-0.383771145918118,-0.184659360790273,0,0.239268148464359,0.596433690684504,1,1.33825816473236
0.51,-1.08634077125802,-1,-0.381507309086683,-0.183607212365632,0,0.238411039685726,0.595657478948839,1,1.3364724210746
0.515,-1.08838987122847,-1,-0.379256043996956,-0.182561668447393,0,0.23755567202252,0.594879674152396,1,1.33470861982364
0.52,-1.09051056232971,-1,-0.377017349745211,-0.18152268438519,0,0.236702051933343,0.594100277131861,1,1.33296643663286
0.525,-1.09270561416547,-1,-0.374791223308022,-0.180490215621384,0,0.235850185804168,0.593319288766321,1,1.3312455498167
0.53,-1.09497785485886,-1,-0.37257765954227,-0.17946421769106,0,0.235000079948339,0.592536709977265,1,1.32954564035059
0.535,-1.09733017105231,-1,-0.370376651185136,-0.178444646222029,0,0.234151740606572,0.591752541728584,1,1.327866391871
0.54,-1.09976550790761,-1,-0.368188188854109,-0.177431456934825,0,0.233305173946954,0.59096678502657,1,1.3262074906754
0.545,-1.10228686910589,-1,-0.366012261046979,-0.176424605642711,0,0.232460386064941,0.590179440919917,1,1.3245686257223
0.55,-1.10489731684766,-1,-0.363848854141841,-0.175424048251673,0,0.231617382983363,0.589390510499719,1,1.32294948863123
0.555,-1.10759997185275,-1,-0.361697952397093,-0.174429740760423,0,0.230776170652419,0.588599994899473,1,1.32134977368274
0.56,-1.11039801336034,-1,-0.359559537951437,-0.173441639260397,0,0.229936754949678,0.587807895295078,1,1.3197691778184
0.565,-1.11329467912897,-1,-0.35743359082388,-0.172459699935759,0,0.229099141680084,0.587014212904833,1,1.31820740064079
0.57,-1.11629326543655,-1,-0.355320088913731,-0.171483879063396,0,0.228263336575947,0.58621894898944,1,1.31666414441353
0.575,-1.11939712708029,-1,-0.353219008000603,-0.170514133012921,0,0.227429345296952,0.585422104852001,1,1.31513911406127
0.58,-1.1226096773768,-1,-0.351130321744414,-0.169550418246673,0,0.226597173430153,0.584623681838021,1,1.31363201716964
0.585,-1.125934388162,-1,-0.349054001685384,-0.168592691319715,0,0.225766826489975,0.583823681335405,1,1.31214256398533
0.59,-1.12937478979119,-1,-0.346990017244039,-0.167640908879836,0,0.224938309918216,0.583022104774462,1,1.31067046741604
