x,g1,g2,g3,g4,g5
-0.368,0.369260032,0.277260032,0.231260032,0.185260032,0.093260032
-0.367,0.367619863,0.275869863,0.229994863,0.184119863,0.092369863
-0.366,0.365983896,0.274483896,0.228733896,0.182983896,0.091483896
-0.365,0.364352125,0.273102125,0.227477125,0.181852125,0.090602125
-0.364,0.362724544,0.271724544,0.226224544,0.180724544,0.089724544
-0.363,0.361101147,0.270351147,0.224976147,0.179601147,0.088851147
-0.362,0.359481928,0.268981928,0.223731928,0.178481928,0.087981928
-0.361,0.357866881,0.267616881,0.222491881,0.177366881,0.087116881
-0.36,0.356256,0.266256,0.221256,0.176256,0.086256
-0.359,0.354649279,0.264899279,0.220024279,0.175149279,0.085399279
-0.358,0.353046712,0.263546712,0.218796712,0.174046712,0.084546712
-0.357,0.351448293,0.262198293,0.217573293,0.172948293,0.083698293
-0.356,0.349854016,0.260854016,0.216354016,0.171854016,0.082854016
-0.355,0.348263875,0.259513875,0.215138875,0.170763875,0.082013875
-0.354,0.346677864,0.258177864,0.213927864,0.169677864,0.081177864
-0.353,0.345095977,0.256845977,0.212720977,0.168595977,0.080345977
-0.352,0.343518208,0.255518208,0.211518208,0.167518208,0.079518208
-0.351,0.341944551,0.254194551,0.210319551,0.166444551,0.078694551
-0.35,0.340375,0.252875,0.209125,0.165375,0.077875
-0.349,0.338809549,0.251559549,0.207934549,0.164309549,0.077059549
-0.348,0.337248192,0.250248192,0.206748192,0.163248192,0.076248192
-0.347,0.335690923,0.248940923,0.205565923,0.162190923,0.075440923
-0.346,0.334137736,0.247637736,0.204387736,0.161137736,0.074637736
-0.345,0.332588625,0.246338625,0.203213625,0.160088625,0.073838625
-0.344,0.331043584,0.245043584,0.202043584,0.159043584,0.073043584
-0.343,0.329502607,0.243752607,0.200877607,0.158002607,0.072252607
-0.342,0.327965688,0.242465688,0.199715688,0.156965688,0.071465688
-0.341,0.326432821,0.241182821,0.198557821,0.155932821,0.070682821
-0.34,0.324904,0.239904,0.197404,0.154904,0.069904
-0.339,0.323379219,0.238629219,0.196254219,0.153879219,0.069129219
-0.338,0.321858472,0.237358472,0.195108472,0.152858472,0.068358472
-0.337,0.320341753,0.236091753,0.193966753,0.151841753,0.067591753
-0.336,0.318829056,0.234829056,0.192829056,0.150829056,0.066829056
-0.335,0.317320375,0.233570375,0.191695375,0.149820375,0.066070375
-0.334,0.315815704,0.232315704,0.190565704,0.148815704,0.065315704
-0.333,0.314315037,0.231065037,0.189440037,0.147815037,0.064565037
-0.332,0.312818368,0.229818368,0.188318368,0.146818368,0.063818368
-0.331,0.311325691,0.228575691,0.187200691,0.145825691,0.063075691
-0.33,0.309837,0.227337,0.186087,0.144837,0.062337
-0.329,0.308352289,0.226102289,0.184977289,0.143852289,0.061602289
-0.328,0.306871552,0.224871552,0.183871552,0.142871552,0.060871552
-0.327,0.305394783,0.223644783,0.182769783,0.141894783,0.060144783
-0.326,0.303921976,0.222421976,0.181671976,0.140921976,0.059421976
-0.325,0.302453125,0.221203125,0.180578125,0.139953125,0.058703125
-0.324,0.300988224,0.219988224,0.179488224,0.138988224,0.057988224
-0.323,0.299527267,0.218777267,0.178402267,0.138027267,0.057277267
-0.322,0.298070248,0.217570248,0.177320248,0.137070248,0.056570248
-0.321,0.296617161,0.216367161,0.176242161,0.136117161,0.055867161
-0.32,0.295168,0.215168,0.175168,0.135168,0.055168
-0.319,0.293722759,0.213972759,0.174097759,0.134222759,0.054472759
-0.318,0.292281432,0.212781432,0.173031432,0.133281432,0.053781432
-0.317,0.290844013,0.211594013,0.171969013,0.132344013,0.053094013
-0.316,0.289410496,0.210410496,0.170910496,0.131410496,0.052410496
-0.315,0.287980875,0.209230875,0.169855875,0.130480875,0.051730875
-0.314,0.286555144,0.208055144,0.168805144,0.129555144,0.051055144
-0.313,0.285133297,0.206883297,0.167758297,0.128633297,0.050383297
-0.312,0.283715328,0.205715328,0.166715328,0.127715328,0.049715328
-0.311,0.282301231,0.204551231,0.165676231,0.126801231,0.049051231
-0.31,0.280891,0.203391,0.164641,0.125891,0.048391
-0.309,0.279484629,0.202234629,0.163609629,0.124984629,0.047734629
-0.308,0.278082112,0.201082112,0.162582112,0.124082112,0.047082112
-0.307,0.276683443,0.199933443,0.161558443,0.123183443,0.046433443
-0.306,0.275288616,0.198788616,0.160538616,0.122288616,0.045788616
-0.305,0.273897625,0.197647625,0.159522625,0.121397625,0.045147625
-0.304,0.272510464,0.196510464,0.158510464,0.120510464,0.044510464
-0.303,0.271127127,0.195377127,0.157502127,0.119627127,0.043877127
-0.302,0.269747608,0.194247608,0.156497608,0.118747608,0.043247608
-0.301,0.268371901,0.193121901,0.155496901,0.117871901,0.042621901
-0.3,0.267,0.192,0.1545,0.117,0.042
-0.299,0.265631899,0.190881899,0.153506899,0.116131899,0.041381899
-0.298,0.264267592,0.189767592,0.152517592,0.115267592,0.040767592
-0.297,0.262907073,0.188657073,0.151532073,0.114407073,0.040157073
-0.296,0.261550336,0.187550336,0.150550336,0.113550336,0.039550336
-0.295,0.260197375,0.186447375,0.149572375,0.112697375,0.038947375
-0.294,0.258848184,0.185348184,0.148598184,0.111848184,0.038348184
-0.293,0.257502757,0.184252757,0.147627757,0.111002757,0.037752757
-0.292,0.256161088,0.183161088,0.146661088,0.110161088,0.037161088
-0.291,0.254823171,0.182073171,0.145698171,0.109323171,0.036573171
-0.29,0.253489,0.180989,0.144739,0.108489,0.035989
-0.289,0.252158569,0.179908569,0.143783569,0.107658569,0.035408569
-0.288,0.250831872,0.178831872,0.142831872,0.106831872,0.034831872
-0.287,0.249508903,0.177758903,0.141883903,0.106008903,0.034258903
-0.286,0.248189656,0.176689656,0.140939656,0.105189656,0.033689656
-0.285,0.246874125,0.175624125,0.139999125,0.104374125,0.033124125
-0.284,0.245562304,0.174562304,0.139062304,0.103562304,0.032562304
-0.283,0.244254187,0.173504187,0.138129187,0.102754187,0.032004187
-0.282,0.242949768,0.172449768,0.137199768,0.101949768,0.031449768
-0.281,0.241649041,0.171399041,0.136274041,0.101149041,0.030899041
-0.28,0.240352,0.170352,0.135352,0.100352,0.030352
-0.279,0.239058639,0.169308639,0.134433639,0.099558639,0.029808639
-0.278,0.237768952,0.168268952,0.133518952,0.098768952,0.029268952
-0.277,0.236482933,0.167232933,0.132607933,0.097982933,0.028732933
-0.276,0.235200576,0.166200576,0.131700576,0.097200576,0.028200576
-0.275,0.233921875,0.165171875,0.130796875,0.096421875,0.027671875
-0.274,0.232646824,0.164146824,0.129896824,0.095646824,0.027146824
-0.273,0.231375417,0.163125417,0.129000417,0.094875417,0.026625417
-0.272,0.230107648,0.162107648,0.128107648,0.094107648,0.026107648
-0.271,0.228843511,0.161093511,0.127218511,0.093343511,0.025593511
-0.27,0.227583,0.160083,0.126333,0.092583,0.025083
-0.269,0.226326109,0.159076109,0.125451109,0.091826109,0.024576109
-0.268,0.225072832,0.158072832,0.124572832,0.091072832,0.024072832
-0.267,0.223823163,0.157073163,0.123698163,0.090323163,0.023573163
-0.266,0.222577096,0.156077096,0.122827096,0.089577096,0.023077096
-0.265,0.221334625,0.155084625,0.121959625,0.088834625,0.022584625
-0.264,0.220095744,0.154095744,0.121095744,0.088095744,0.022095744
-0.263,0.218860447,0.153110447,0.120235447,0.087360447,0.021610447
-0.262,0.217628728,0.152128728,0.119378728,0.086628728,0.021128728
-0.261,0.216400581,0.151150581,0.118525581,0.085900581,0.020650581
-0.26,0.215176,0.150176,0.117676,0.085176,0.020176
-0.259,0.213954979,0.149204979,0.116829979,0.084454979,0.019704979
-0.258,0.212737512,0.148237512,0.115987512,0.083737512,0.019237512
-0.257,0.211523593,0.147273593,0.115148593,0.083023593,0.018773593
-0.256,0.210313216,0.146313216,0.114313216,0.082313216,0.018313216
-0.255,0.209106375,0.145356375,0.113481375,0.081606375,0.017856375
-0.254,0.207903064,0.144403064,0.112653064,0.080903064,0.017403064
-0.253,0.206703277,0.143453277,0.111828277,0.080203277,0.016953277
-0.252,0.205507008,0.142507008,0.111007008,0.079507008,0.016507008
-0.251,0.204314251,0.141564251,0.110189251,0.078814251,0.016064251
-0.25,0.203125,0.140625,0.109375,0.078125,0.015625
-0.249,0.201939249,0.139689249,0.108564249,0.077439249,0.015189249
-0.248,0.200756992,0.138756992,0.107756992,0.076756992,0.014756992
-0.247,0.199578223,0.137828223,0.106953223,0.076078223,0.014328223
-0.246,0.198402936,0.136902936,0.106152936,0.075402936,0.013902936
-0.245,0.197231125,0.135981125,0.105356125,0.074731125,0.013481125
-0.244,0.196062784,0.135062784,0.104562784,0.074062784,0.013062784
-0.243,0.194897907,0.134147907,0.103772907,0.073397907,0.012647907
-0.242,0.193736488,0.133236488,0.102986488,0.072736488,0.012236488
-0.241,0.192578521,0.132328521,0.102203521,0.072078521,0.011828521
-0.24,0.191424,0.131424,0.101424,0.071424,0.011424
-0.239,0.190272919,0.130522919,0.100647919,0.070772919,0.011022919
-0.238,0.189125272,0.129625272,0.099875272,0.070125272,0.010625272
-0.237,0.187981053,0.128731053,0.099106053,0.069481053,0.010231053
-0.236,0.186840256,0.127840256,0.098340256,0.068840256,0.009840256
-0.235,0.185702875,0.126952875,0.097577875,0.068202875,0.009452875
-0.234,0.184568904,0.126068904,0.096818904,0.067568904,0.00906890399999999
-0.233,0.183438337,0.125188337,0.096063337,0.066938337,0.00868833699999999
-0.232,0.182311168,0.124311168,0.095311168,0.066311168,0.00831116799999999
-0.231,0.181187391,0.123437391,0.094562391,0.065687391,0.00793739099999999
