x,g
-1.066,-0.300304454736
-1.064,-0.290095497216
-1.062,-0.279958416336
-1.06,-0.26989296
-1.058,-0.259898876496
-1.056,-0.249975914496
-1.054,-0.240123823056
-1.052,-0.230342351616
-1.05,-0.22063125
-1.048,-0.210990268416
-1.046,-0.201419157456
-1.044,-0.191917668096
-1.042,-0.182485551696
-1.04,-0.17312256
-1.038,-0.163828445136
-1.036,-0.154602959616
-1.034,-0.145445856336
-1.032,-0.136356888576
-1.03,-0.12733581
-1.028,-0.118382374656
-1.026,-0.109496336976
-1.024,-0.100677451776
-1.022,-0.0919254742560001
-1.02,-0.0832401600000001
-1.018,-0.0746212649760001
-1.016,-0.0660685455360001
-1.014,-0.0575817584160001
-1.012,-0.049160660736
-1.01,-0.04080501
-1.008,-0.032514564096
-1.006,-0.024289081296
-1.004,-0.016128320256
-1.002,-0.00803204001600001
-1,0
-0.998,0.00796803998400001
-0.996,0.015872319744
-0.994,0.023713078704
-0.992,0.031490555904
-0.99,0.03920499
-0.988,0.046856619264
-0.986,0.054445681584
-0.984,0.0619724144640001
-0.982,0.069437055024
-0.98,0.0768398400000001
-0.978,0.0841810057440001
-0.976,0.0914607882240001
-0.974,0.0986794230240001
-0.972,0.105837145344
-0.97,0.11293419
-0.968,0.119970791424
-0.966,0.126947183664
-0.964,0.133863600384
-0.962,0.140720274864
-0.96,0.14751744
-0.958,0.154255328304
-0.956,0.160934171904
-0.954,0.167554202544
-0.952,0.174115651584
-0.95,0.18061875
-0.948,0.187063728384
-0.946,0.193450816944
-0.944,0.199780245504
-0.942,0.206052243504
-0.94,0.21226704
-0.938,0.218424863664
-0.936,0.224525942784
-0.934,0.230570505264
-0.932,0.236558778624
-0.93,0.24249099
-0.928,0.248367366144
-0.926,0.254188133424
-0.924,0.259953517824
-0.922,0.265663744944
-0.92,0.27131904
-0.918,0.276919627824
-0.916,0.282465732864
-0.914,0.287957579184
-0.912,0.293395390464
-0.91,0.29877939
-0.908,0.304109800704
-0.906,0.309386845104
-0.904,0.314610745344
-0.902,0.319781723184
-0.9,0.3249
-0.898,0.329965796784
-0.896,0.334979334144
-0.894,0.339940832304
-0.892,0.344850511104
-0.89,0.34970859
-0.888,0.354515288064
-0.886,0.359270823984
-0.884,0.363975416064
-0.882,0.368629282224
-0.88,0.37323264
-0.878,0.377785706544
-0.876,0.382288698624
-0.874,0.386741832624
-0.872,0.391145324544
-0.87,0.39549939
-0.868,0.399804244224
-0.866,0.404060102064
-0.864,0.408267177984
-0.862,0.412425686064
-0.86,0.41653584
-0.858,0.420597853104
-0.856,0.424611938304
-0.854,0.428578308144
-0.852,0.432497174784
-0.85,0.43636875
-0.848,0.440193245184
-0.846,0.443970871344
-0.844,0.447701839104
-0.842,0.451386358704
-0.84,0.45502464
-0.838,0.458616892464
-0.836,0.462163325184
-0.834,0.465664146864
-0.832,0.469119565824
-0.83,0.47252979
-0.828,0.475895026944
-0.826,0.479215483824
-0.824,0.482491367424
-0.822,0.485722884144
-0.82,0.48891024
-0.818,0.492053640624
-0.816,0.495153291264
-0.814,0.498209396784
-0.812,0.501222161664
-0.81,0.50419179
-0.808,0.507118485504
-0.806,0.510002451504
-0.804,0.512843890944
-0.802,0.515643006384
-0.8,0.5184
-0.798,0.521115073584
-0.796,0.523788428544
-0.794,0.526420265904
-0.792,0.529010786304
-0.79,0.53156019
-0.788,0.534068676864
-0.786,0.536536446384
-0.784,0.538963697664
-0.782,0.541350629424
-0.78,0.54369744
-0.778,0.546004327344
-0.776,0.548271489024
-0.774,0.550499122224
-0.772,0.552687423744
-0.77,0.55483659
-0.768,0.556946817024
-0.766,0.559018300464
-0.764,0.561051235584
-0.762,0.563045817264
-0.76,0.56500224
-0.758,0.566920697904
-0.756,0.568801384704
-0.754,0.570644493744
-0.752,0.572450217984
-0.75,0.57421875
-0.748,0.575950281984
-0.746,0.577645005744
-0.744,0.579303112704
-0.742,0.580924793904
-0.74,0.58251024
-0.738,0.584059641264
-0.736,0.585573187584
-0.734,0.587051068464
-0.732,0.588493473024
-0.73,0.58990059
-0.728,0.591272607744
-0.726,0.592609714224
-0.724,0.593912097024
-0.722,0.595179943344
-0.72,0.59641344
-0.718,0.597612773424
-0.716,0.598778129664
-0.714,0.599909694384
-0.712,0.601007652864
-0.71,0.60207219
-0.708,0.603103490304
-0.706,0.604101737904
-0.704,0.605067116544
-0.702,0.605999809584
-0.7,0.6069
-0.698,0.607767870384
-0.696,0.608603602944
-0.694,0.609407379504
