t,fF,fC,fS
-1.914,0.0172696861523109,0.00713881792488796,0.0146222228147594
-1.911,0.00695043628392411,0.00771405427509447,0.017402031438464
-1.908,-0.00245345698865579,0.00831927473168897,0.0196573582900617
-1.905,-0.00881464440681851,0.00895091503233414,0.0212890916018291
-1.902,-0.0107947650430986,0.00960492187980222,0.0222348271276208
-1.899,-0.00808602325729252,0.0102769851462849,0.0224725006298725
-1.896,-0.00141790231715272,0.0109627851518538,0.0220217126717538
-1.893,0.0076593288058649,0.0116582408529612,0.0209426663120991
-1.89,0.0171560063753708,0.012359744704082,0.0193327748715336
-1.887,0.0250990374626138,0.0130643706981486,0.0173211304512483
-1.884,0.0299607800415801,0.0137700436080957,0.0150611467012922
-1.881,0.0309699515601016,0.014475659656949,0.0127217944116607
-1.878,0.0282432845213745,0.0151811516123432,0.0104779297989113
-1.875,0.022717968711135,0.0158874944756317,0.00850026819316145
-1.872,0.0159086624702589,0.0165966513347899,0.00694557712493164
-1.869,0.00954959371217506,0.0173114623799859,0.00594765129381494
-1.866,0.00520444910493983,0.0180354833447225,0.00560958817100098
-1.863,0.00393021337542543,0.0187727825466987,0.00599780948557057
-1.86,0.00606587479181375,0.0195277080937138,0.00713817471781059
-1.857,0.0111869660547827,0.0203046385531748,0.00901441359020683
-1.854,0.0182292727396189,0.0211077313585663,0.0115689721824728
-1.851,0.0257481193390126,0.0219406833852847,0.0147062292438267
-1.848,0.032251384638801,0.0228065174607878,0.0182979034178249
-1.845,0.036530604390638,0.0237074071165113,0.0221903462071791
-1.842,0.0379176675325881,0.0246445497232377,0.0262133068097041
-1.839,0.0364134334168997,0.0256180954000072,0.0301896697066582
-1.836,0.0326644720339722,0.0266271359054432,0.0339456090098293
-1.833,0.0277981927013179,0.0276697542906834,0.0373205783921354
-1.83,0.023157326001228,0.02874313261073,0.0401765634522841
-1.827,0.0199954748035899,0.0298437116551833,0.0424060642178022
-1.824,0.0192020367230003,0.0309673936613615,0.0439383469150043
-1.821,0.0211162188715057,0.0321097764851747,0.0447436021199339
